State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9903795882793731	0.0023906151743336565	4.7479554599749286E-6	0.005606279518800145	6.597135293782248E-4	7.8964508256562E-6	5.980001988122932E-5	0.0	0.0	8.913590719479345E-4
2	0.03831004431605565	0.9515309579939008	0.009917207407385917	0.0	8.67831237006223E-6	0.0	2.331119702876965E-4	0.0	0.0	0.0
3	0.0024959589194886093	0.19828078672303545	0.7630717968286166	0.01843085930221479	4.555005059769706E-5	0.0	0.01754880516243849	0.0	0.0	1.2624301360841995E-4
4	0.2560620483438226	0.0	0.0023328731797383237	0.6224463485616571	0.05687899414845437	0.005451550549570726	0.048326078594711386	0.002617533823132978	0.002235477445529892	0.0036490953533826745
5	0.08005983734849428	0.0	4.478684376844733E-6	0.14639616058940647	0.622765533871063	0.1313374694223358	0.0028307345119546116	6.811803899874245E-4	0.00890715165334272	0.007017453529038842
6	9.167220366325558E-4	0.0	0.0	0.022824074953373755	0.19729274799879795	0.7411257875105778	0.004606869599046518	0.0039998485189083974	0.02923394938266313	0.0
7	0.010070801805201719	0.0019096668194663162	0.009647415643017578	0.17850335671382472	0.004419950680768119	0.004781039778888747	0.728935591500981	0.06053520399937308	0.001179675608602557	1.7297449876175887E-5
8	0.0	0.0	0.0	0.009399205532561176	0.0012825711318647946	0.003802460506419587	0.06372157739484106	0.8334236693192302	0.08673355239031799	0.0016369637247651459
9	0.0	0.0	0.0	0.005324026232023424	0.009355056738426066	0.018345422036643407	0.0010230513568170853	0.05411910869461759	0.7698044326779961	0.14202890226347636
10	0.017133020321961148	2.070682392949703E-6	0.0	0.0017069390733138758	9.918732626048108E-4	0.0	0.0	1.076906131798687E-4	0.023083126019586547	0.9569752800269608
